start,end,asset_name,delta_downloads
2026.1.3 18.18,2026.1.3 18.34,sf6_dashboard_bundle_latest.zip,1
2026.1.3 21.36,2026.1.3 22.09,sf6_dashboard_bundle_v0.8.4.zip,1
2026.1.5 20.01,2026.1.5 20.25,sf6_dashboard_bundle_latest.zip,1
2026.1.6 21.45,2026.1.6 22.26,sf6_dashboard_bundle_v0.8.6.zip,1
2026.1.10 20.12,2026.1.10 20.27,sf6_dashboard_bundle_v0.9.2.zip,1
2026.1.13 15.52,2026.1.13 16.14,sf6_dashboard_bundle_v0.9.3.zip,1
2026.1.17 18.57,2026.1.17 19.16,sf6_dashboard_bundle_v0.9.3.zip,1
2026.1.18 23.12,2026.1.18 23.32,sf6_dashboard_bundle_v0.9.3.zip,2
2026.1.20 08.56,2026.1.20 10.07,sf6_dashboard_bundle_v0.9.5.zip,1
2026.1.21 03.29,2026.1.21 04.44,sf6_dashboard_bundle_v0.10.2.zip,1
2026.1.23 21.44,2026.1.23 22.31,sf6_dashboard_bundle_v0.10.3.zip,1
2026.1.23 22.58,2026.1.23 23.25,sf6_dashboard_bundle_v0.10.3.zip,1
2026.1.24 21.20,2026.1.24 22.03,sf6_dashboard_bundle_v0.10.3.zip,1
2026.1.24 23.15,2026.1.24 23.35,sf6_dashboard_bundle_v0.10.3.1.zip,1
2026.1.24 23.47,2026.1.24 23.54,sf6_dashboard_bundle_v0.10.3.1.zip,1
2026.1.25 00.31,2026.1.25 00.43,sf6_dashboard_bundle_v0.10.3.zip,1
2026.1.25 11.02,2026.1.25 12.58,sf6_dashboard_bundle_v0.10.3.3.zip,1
2026.1.25 12.58,2026.1.25 13.52,sf6_dashboard_bundle_v0.10.3.3.zip,3
2026.1.25 16.11,2026.1.25 16.32,sf6_dashboard_bundle_v0.10.3.3.zip,1
2026.2.15 10.24,2026.2.15 12.58,sf6_dashboard_bundle_latest.zip,1
2026.2.19 19.28,2026.2.19 20.12,sf6_dashboard_bundle_v0.11.3.zip,1
2026.2.19 20.12,2026.2.19 20.53,sf6_dashboard_bundle_v0.9.5.zip,1
2026.2.19 21.31,2026.2.19 22.49,sf6_dashboard_bundle_v0.11.4.zip,1
2026.2.19 22.49,2026.2.19 23.37,sf6_dashboard_bundle_v0.11.4.zip,1
2026.2.20 22.54,2026.2.20 23.31,sf6_dashboard_bundle_v0.12.1.zip,1
2026.2.22 17.52,2026.2.22 18.16,sf6_dashboard_bundle_v0.13.4.zip,1
2026.3.4 02.27,2026.3.4 03.03,sf6_dashboard_bundle_v0.15.1.zip,1
2026.3.7 00.55,2026.3.7 01.27,sf6_dashboard_bundle_latest.zip,1
2026.3.7 01.27,2026.3.7 02.04,sf6_dashboard_bundle_latest.zip,1
2026.3.7 02.47,2026.3.7 03.24,sf6_dashboard_bundle_v1.1.5.zip,1
2026.4.6 18.52,2026.4.6 19.43,sf6_dashboard_bundle_v1.4.0.zip,1
2026.4.8 12.55,2026.4.8 14.42,sf6_dashboard_bundle_v1.4.0.zip,1
2026.4.8 20.32,2026.4.8 21.09,sf6_dashboard_bundle_latest.zip,1
2026.4.25 08.58,2026.4.25 11.10,sf6_dashboard_bundle_latest.zip,1
2026.5.3 16.10,2026.5.3 17.55,sf6_dashboard_bundle_latest.zip,1
2026.5.3 19.53,2026.5.3 20.31,sf6_dashboard_bundle_latest.zip,2
2026.5.3 20.31,2026.5.3 21.07,sf6_dashboard_bundle_latest.zip,2
2026.5.3 22.43,2026.5.3 23.33,sf6_dashboard_bundle_latest.zip,3
